codigo,distrito,departamento,municipio,establecimiento,direccion,telefono,supervisor,director,nivel,sector,area,status,modalidad,jornada,plan,departamental,fecha_extraccion,fuente_url,nivel_consulta,sector_consulta,plan_consulta,modalidad_consulta,departamento_consulta,departamento_consulta_codigo,municipio_consulta
19-01-0078-46,19-01-1117,ZACAPA,ZACAPA,"INSTITUTO DIVERSIFICADO ADSCRITO AL INSTITUTO DE EDUCACIÓN MEDIA EXPERIMENTAL CON ORIENTACIÓN OCUPACIONAL ""JOSÉ RODRÍGUEZ CERNA""","7A. AVENIDA ""A"" FINAL Y 9A. CALLE ZONA 2, BARRIO LA REFORMA",79414031,HUGO WILFREDO VARGAS CHACÓN,MARCO ANTONIO LÓPEZ RAMOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0079-46,19-01-1116,ZACAPA,ZACAPA,ESCUELA NACIONAL DE CIENCIAS COMERCIALES MIXTA NOCTURNA,4A. CALLE 16-10 ZONA 1. BARRIO EL CALVARIO,57129013,SONIA HAYDEE RUIZ WONG,ELMER OTTONIEL AVALOS MIGUEL,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0080-46,19-001,ZACAPA,ZACAPA,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA LICEO CENTRO AMERICANO JV,16 AVENIDA 4-16 ZONA 1,79578686,SONIA HAYDEE RUIZ WONG,EMMA JANETH GALDÁMEZ MARROQUÍN DE ROLDÁN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0081-46,19-019,ZACAPA,ZACAPA,COLEGIO PARTICULAR MIXTO DE CIENCIAS COMERCIALES,15 AVENIDA ENTRE 4A Y 5A CALLES ZONA 1,79578686,HUGO WILFREDO VARGAS CHACON,SALVADOR GIRON,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0082-46,99-001,ZACAPA,ZACAPA,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA DE ADMINISTRACION PUBLICA JN,BARRIO LAS FLORES,,SILVIA EUGENIA VALDEZ MONTERROSO DE CARBALLO,,DIVERSIFICADO,PRIVADO,URBANA,TEMPORAL TITULOS,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0083-46,,ZACAPA,ZACAPA,INSTITUTO PRIVADO MIXTO DE EDUCACION DIVERSIFICADA DE ADMINISTRACION PUBLICA JV,BARRIO LAS FLORES,,,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0084-46,19-01-1116,ZACAPA,ZACAPA,INSTITUTO ADOLFO V. HALL DE ORIENTE,BARRIO CRUZ DE MAYO ZONA 3,39913254,SONIA HAYDEE RUIZ WONG,GÉRSON FRANCISCO BORRAYO BARRIENTOS,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0085-46,19-019,ZACAPA,ZACAPA,"COLEGIO PARTICULAR MIXTO LUTERANO "" EL DIVINO SALVADOR""",4A CALLE 2-31 ZONA 2,79410254,HUGO WILFREDO VARGAS CHACON,ANTONIO SALVADOR RAMÍREZ RIVAS,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0086-46,19-01-1116,ZACAPA,ZACAPA,"CENTRO EDUCATIVO JUVENIL CATÓLICO ""NUESTRA SEÑORA DE FÁTIMA""",12 CALLE A 14-03 ZONA 1,79410382,SONIA HAYDEE RUIZ WONG,FIDIAS ROBERTO MONROY LEMUS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0116-46,19-01-1117,ZACAPA,ZACAPA,"INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA, INED","7A. AVENIDA ""A"" FINAL Y 9A. CALLE ZONA 2 BARRIO LA REFORMA",42053474,HUGO WILFREDO VARGAS CHACÓN,MARCY JULISSA JIATZ ALONZO,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0143-46,19-002,ZACAPA,ZACAPA,INSTITUTO MIXTO DE EDUCACION DIVERSIFICADA POR COOPERATIVA,ALDEA SAN JORGE,,MARIA ELENA GARCIA CONTRERAS DE QUINTO,VICTOR HUGO GUERRA MONROY,DIVERSIFICADO,COOPERATIVA,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0144-46,19-019,ZACAPA,ZACAPA,"COLEGIO ""SAN FRANCISCO JAVIER DE ZACAPA""","KILOMETRO 3, CARRETERA DE ALDEA MANZANOTES",77208200,HUGO WILFREDO VARGAS CHACON,SILVIA AMARILYS REYES ALVÁREZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0148-46,19-019,ZACAPA,ZACAPA,INSTITUTO TECNICO DE EDUCACION INDUSTRIAL,"BARRIO LA REFORMA, LOMA DEL CHAPARRO ZONA 2",41830223,HUGO WILFREDO VARGAS CHACON,CARMEN ELIZABETH GARCIA RAMIREZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0149-46,19-01-1117,ZACAPA,ZACAPA,COLEGIO BILINGÜE MONTESSORI,4TA. CALLE 3-41 ZONA 2,79410965,HUGO WILFREDO VARGAS CHACÓN,MAGDA YOHANA SÁNCHEZ MONTERROSO,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0156-46,19-019,ZACAPA,ZACAPA,LICEO CRISTO REY,8A. CALLE 9-06 ZONA 2 BARRIO LA REFORMA,54138046,HUGO WILFREDO VARGAS CHACON,EDNA EDITH RAMÍREZ CORDÓN,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0159-46,19-001,ZACAPA,ZACAPA,INSTITUTO FEMENINO DE EDUCACION MEDIA,9A. CALLE 15-35 ZONA 1,,SONIA HAYDEE RUIZ WONG,---,DIVERSIFICADO,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0160-46,19-01-1117,ZACAPA,ZACAPA,"COLEGIO PARTICULAR MIXTO ""LICEO CRISTIANO ZACAPANECO""",12 AVENIDA Y 8A. CALLE ESQUINA ZONA 1,79410316,HUGO WILFREDO VARGAS CHACÓN,LUCY RAQUEL APARICIO ROLDÁN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0162-46,19-019,ZACAPA,ZACAPA,COLEGIO PRIVADO MIXTO EVANGELICO ELIM,"RESIDENCIALES SHALOM, CALZADA RAMIRO DE LEON CARPIO",55146704,HUGO WILFREDO VARGAS CHACON,LOURDES JULISSA SALGUERO ZABALETA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0166-46,,ZACAPA,ZACAPA,"INSTITUTO DE EDUCACION BASICA Y BACHILLERATO POR MADUREZ ""SUPERACION INTEGRAL""",ALDEA LOS JOCOTES,24106060,,FLOR DE MARIA LOPEZ BARRIOS,DIVERSIFICADO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0170-46,19-01-1116,ZACAPA,ZACAPA,COLEGIO CRISTIANO VERBO ZACAPA,CALZADA RAMIRO DE LEÓN CARPIO A UN COSTADO DEL IGSS,58289369,SONIA HAYDEE RUIZ WONG,LIDIA ISABEL PÉREZ VILLEDA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0175-46,19-01-1119,ZACAPA,ZACAPA,INSTITUTO TÉCNICO DE EDUCACIÓN INDUSTRIAL,"CIUDAD VICTORIA, BARRIO NUEVO",79415915,AURA LORENA CANTORAL AGUSTÍN,ALEJANDRA MARÍA PALACIOS GARCÍA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0177-46,19-019,ZACAPA,ZACAPA,INSTITUTO TECNICO DE EDUCACIÓN INDUSTRIAL,"CIUDAD VICTORIA, BARRIO NUEVO",79415915,HUGO WILFREDO VARGAS CHACON,CARMEN ELIZABETH GARCÍA RAMÍREZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0178-46,19-019,ZACAPA,ZACAPA,LICEO CRISTO REY,8A. CALLE 9-6 BARRIO LA REFORMA ZONA 2,54138046,HUGO WILFREDO VARGAS CHACON,CLAUDIA AZUCENA DE LOS REYES DÍAZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0179-46,19-019,ZACAPA,ZACAPA,LICEO CRISTO REY,8A. CALLE 9-6 BARRIO LA REFORMA ZONA 2,79410104,HUGO WILFREDO VARGAS CHACON,CLAUDIA AZUCENA DE LOS REYES DÍAZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0180-46,19-013,ZACAPA,ZACAPA,"INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA, NOCTURNO","BARRIO EL CENTRO , SAN DIEGO",53704897,KEVIN ALEXIS GARCIA MARTINEZ,NORMA ONDINA ORDOÑEZ ORTIZ,DIVERSIFICADO,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0183-46,19-01-1117,ZACAPA,ZACAPA,LICEO CRISTO REY,8A. CALLE 9-06 ZONA 2 BARRIO LA REFORMA,59363661,HUGO WILFREDO VARGAS CHACÓN,EDNA EDITH RAMÍREZ CORDÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0184-46,19-019,ZACAPA,ZACAPA,INSTITUTO TÉCNICO PRIVADO VOCACIONAL,9A. CALLE 17-27 ZONA 3 BARRIO EL TAMARINDAL,79416343,HUGO WILFREDO VARGAS CHACON,EDWIN ORLANDO LUCAS ASPUREZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0192-46,19-01-1116,ZACAPA,ZACAPA,"COLEGIO ""HIGA""",BOSQUES DE SAN JULIÁN ZACAPA,42876685,SONIA HAYDEE RUIZ WONG,EDILIO PAZ ARCHILA,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0193-46,19-019,ZACAPA,ZACAPA,"COLEGIO ""HIGA""",BOSQUES DE SAN JULIÁN ZACAPA,42876685,HUGO WILFREDO VARGAS CHACON,MARCY MAGALETH CARRERA PAIZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0194-46,19-01-1116,ZACAPA,ZACAPA,"COLEGIO ""HIGA""",BOSQUES DE SAN JULIÁN ZACAPA,49057528,SONIA HAYDEE RUIZ WONG,EDILIO PAZ ARCHILA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0198-46,19-019,ZACAPA,ZACAPA,"COLEGIO ""HIGA""",BOSQUES DE SAN JULIAN ZACAPA,42876685,HUGO WILFREDO VARGAS CHACON,MARCY MAGALETH CARRERA PAIZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0202-46,19-01-1116,ZACAPA,ZACAPA,INSTITUTO TÉCNICO PRIVADO VOCACIONAL,9A. CALLE 17-27 ZONA 3 BARRIO EL TAMARINDAL ZACAPA,79416343,SONIA HAYDEE RUIZ WONG,EDWIN ORLANDO LUCAS VANEGAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0204-46,19-01-1117,ZACAPA,ZACAPA,COLEGIO PRIVADO BILINGÜE SAGRADO CORAZÓN DE JESÚS,8A. CALLE ENTRE 9A. Y 10A. AVENIDA DE LA ZONA 2 BARRIO LA LAGUNA ZACAPA,30375189,HUGO WILFREDO VARGAS CHACÓN,RINNA SCARLETT BARAHONA MAZARIEGOS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0205-46,19-018,ZACAPA,ZACAPA,PROGRAMA NACIONAL DE EDUCACIÓN ALTERNATIVA -PRONEA-,3RA. CALLE ENTRE 14 Y 15 AV. ZONA 1 ZACAPA,79416215,MAYRA MARIVEL LOPEZ HERNANDEZ,BERTA ANDREA LÓPEZ SAQUEC,DIVERSIFICADO,OFICIAL,URBANA,ABIERTA,MONOLINGUE,DOBLE,A DISTANCIA,ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0206-46,19-018,ZACAPA,ZACAPA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-DEPARTAMENTAL,3RA. CALE ENTRE 14 Y 15 AVENIDA ZONA 1 ZACAPA,79416215,MAYRA MARIVEL LOPEZ HERNANDEZ,CARLOS JOSUÉ ROSALES DE PAZ,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,DOBLE,SEMIPRESENCIAL,ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0209-46,19-01-1117,ZACAPA,ZACAPA,"CENTRO DE EDUCACIÓN A DISTANCIA ""ITZAMNÁ""","5TA CALLE 11-20, ZONA 1",58765309,HUGO WILFREDO VARGAS CHACÓN,AÍDA CONSUELO CHACÓN MARÍN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0211-46,19-01-1116,ZACAPA,ZACAPA,"COLEGIO ""HIGA""",BOSQUES DE SAN JULIAN,49057528,SONIA HAYDEE RUIZ WONG,EDILIO PAZ ARCHILA,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0213-46,19-01-1116,ZACAPA,ZACAPA,INSTITUTO TÉCNICO PRIVADO VOCACIONAL,9A. CALLE 17-27 ZONA 3 BARRIO EL TAMARINDAL,79416343,SONIA HAYDEE RUIZ WONG,EDWIN ORLANDO LUCAS VANEGAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0215-46,19-01-1117,ZACAPA,ZACAPA,LICEO CRISTO REY,"8A. CALLE 9-06 ZONA 2, BARRIO LA REFORMA",59363661,HUGO WILFREDO VARGAS CHACÓN,EDNA EDITH RAMÍREZ CORDÓN,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,SIN JORNADA,SEMIPRESENCIAL (UN DÍA A LA SEMANA),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0220-46,19-018,ZACAPA,ZACAPA,CENTRO DE EDUCACIÓN EXTRAESCOLAR -CEEX-,ALDEA LOS JOCOTES,42531451,MAYRA MARIVEL LOPEZ HERNANDEZ,ALVARO ANIBAL POP LEM,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0223-46,19-01-1119,ZACAPA,ZACAPA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,ALDEA EL TERRERO,55387133,AURA LORENA CANTORAL AGUSTÍN,,DIVERSIFICADO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
19-01-0304-46,19-01-1116,ZACAPA,ZACAPA,INSTITUTO TÉCNICO PRIVADO VOCACIONAL,9A. CALLE 17-27 ZONA 3 BARRIO EL TAMARINDAL,79416343,SONIA HAYDEE RUIZ WONG,AURA INES LUCAS VANEGAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),ZACAPA,2026-07-14T23:53:06+00:00,https://www.mineduc.gob.gt/BUSCAESTABLECIMIENTO_GE/,DIVERSIFICADO,TODOS,TODOS,TODOS,ZACAPA,19,
